X,Y
Zr0.625Ba0.28Th0.095F3.44,-9.179353964
Zr0.62Ba0.3La0.08F3.32,-9.179353964
Cd0.9Y0.1F2.1,-9.21899715
Cd0.9Tm0.1F2.1,-9.239870536
BaY1.8Er0.2F8,-9.245690481
Hf0.62Ba0.3Nd0.08F3.32,-9.255244557
Hf0.62Ba0.3Yb0.08F3.32,-9.255244557
Zr0.59Ba0.26Bi0.15F3.33,-9.287800654
Zr0.6Ba0.15Cs0.25F2.95,-9.349246415
Zr0.5La0.08Na0.35Y0.02Al0.05F2.8,-9.430881541
Zr0.5La0.23Na0.2Y0.02Al0.05F3.1,-9.436652572
Zr0.6Ba0.3La0.1F3.3,-9.475511502
Ba0.3La0.7F2.7,-9.49710147
Zr0.6Ba0.3Ce0.1F3.3,-9.533024734
Ba0.2La0.8F2.8,-9.553673655
Cd0.89Ho0.11F2.11,-9.570879324
Hf0.7Ba0.3F3.4,-9.582903003
Zr0.6Ba0.3Pr0.1F3.3,-9.606634375
Cd0.9Lu0.1F2.1,-9.615503606
Zr0.5La0.18Na0.25Y0.02Al0.05F3,-9.638559457
Zr0.6Ba0.3Gd0.1F3.3,-9.691366889
Sr0.887La0.113F2.113,-9.69921931
Zr0.6Ba0.3Sm0.1F3.3,-9.723318684
Zr0.6Ba0.3Nd0.1F3.3,-9.726928325
NaSn2F5,-9.753605086
Zr0.5La0.13Na0.3Y0.02Al0.05F2.9,-9.8029438
Zr0.62Ba0.3La0.08F3.32,-9.813260597
Zr0.6Ba0.3Eu0.1F3.3,-9.837222276
Cd0.9Ho0.1F2.1,-9.844630221
Zr0.6Ba0.3Lu0.1F3.3,-9.869709043
Zr0.6Ba0.3Dy0.1F3.3,-9.871660839
Zr0.6Ba0.3Y0.1F3.3,-9.874441557
Zn0.25Al0.25Pb0.5F2.25,-9.911516794
Cd0.9Yb0.1F2.1,-9.912010063
Zr0.6Ba0.3Tb0.1F3.3,-9.917222276
BaYYbF8,-9.951511599
Zr0.6Ba0.3Yb0.1F3.3,-9.971660839
Zr0.6Ba0.3Tm0.1F3.3,-9.972783712
Zr0.6Ba0.3Er0.1F3.3,-9.977222276
Ca0.75Pb0.25F2,-10.00345647
Sr0.9Nd0.1F2.1,-10.03747254
Sr0.9Sb0.1F2.1,-10.06359069
Cd0.97Ho0.03F2.03,-10.07899715
Zr0.5Ba0.3Y0.1Na0.1F3,-10.09887421
BaF2,-10.13999818
Cd0.96Ho0.04F2.04,-10.17725038
Sr0.75Pb0.25F2,-10.17996825
Cd0.9Dy0.1F2.1,-10.18288345
Pb0.5Zr0.5F3,-10.2086044
Sr0.737Sm0.263F2.263,-10.29829445
Ag5Ga3F14,-10.33751348
BaF2,-10.39116573
Al0.3Pb0.4Zn0.3F2.3,-10.40896434
Zr0.6Th0.33La0.07F3.93,-10.42513701
Zr0.5Ba0.25Y0.1Na0.15F2.95,-10.42537347
K0.5Pb0.5Y0.5F3,-10.44199983
Cd0.9Tb0.1F2.1,-10.45113668
Cd0.9Sm0.1F2.1,-10.49288345
K0.6Pb0.4Y0.6F3.2,-10.57075636
Cd0.98Ho0.02F2.02,-10.57711498
K0.65Pb0.35Y0.65F3.3,-10.66184642
LaF3,-10.69876022
